,name,rating,types,reviews,salary,jobs,interviews,Locations
1554,Flash Electronics,3.5,Electronics Manufacturing,688,2.5k,1,36,Pune +22 other locations
1555,TTK Prestige,3.8,Consumer Electronics & Appliances,687,2.5k,19,52,Bengaluru +83 other locations
1556,NSB Bpo Solutions,2.8,BPO,687,1.7k,--,36,Noida +83 other locations
1557,Wuerth,3.5,Industrial Machinery,686,2.3k,13,46,Pune +65 other locations
1558,Nomura Holdings,3.7,Investment Banking / Venture Capital / Private Equity,686,6.9k,273,81,Mumbai +11 other locations
1559,PPG Asian Paints,3.9,Chemicals,686,2.9k,4,45,Mumbai +58 other locations
1560,Lohia Corp,4.0,Industrial Machinery,686,2.5k,5,80,Kanpur +21 other locations
1561,Dodla Dairy,4.2,Food Processing,685,1.9k,9,46,Hyderabad +72 other locations
1562,IHG,3.5,Hospitality,685,2.7k,77,40,New Delhi +46 other locations
1563,Leverage Edu,4.1,EdTech,685,1.8k,48,69,Noida +22 other locations
1564,Embibe,3.4,EdTech,684,2.6k,--,61,Bengaluru +19 other locations
1565,Autoliv,3.9,Auto Components,684,2.8k,--,42,Bengaluru +23 other locations
1566,Cohesity,3.9,Software Product,684,5.1k,19,87,Pune +47 other locations
1567,Titan Eye Plus,4.1,Other,684,1.4k,--,39,Kolkata +131 other locations
1568,TransUnion,3.6,Financial Services,684,6.3k,35,104,Chennai +10 other locations
1569,Nephroplus,3.8,Healthcare,683,3k,104,52,Hyderabad +112 other locations
1570,Toppr,3.4,EdTech,682,3.2k,--,66,Mumbai +42 other locations
1571,Kurlon,4.3,Furniture & Furnishing,682,2.1k,8,37,Bengaluru +88 other locations
1572,Vizag Steel,4.0,Iron & Steel,682,1.7k,--,36,Visakhapatnam +29 other locations
1573,Emami Agrotech,3.9,Food Processing,682,2.5k,12,44,Kolkata +67 other locations
1574,Caparo Engineering India,4.0,Auto Components,682,2.5k,--,35,Chennai +34 other locations
1575,Quislex Legal Services,4.1,Legal,681,1.8k,1,38,Hyderabad +11 other locations
1576,Neeyamo Enterprise Solutions,3.6,,681,4k,2,71,
1577,Keventer,3.7,FMCG,681,2.2k,4,35,Kolkata +65 other locations
1578,Bisk Farm,4.0,Food Processing,681,1.6k,16,30,Kolkata +138 other locations
1579,VRL Logistics,3.7,Logistics,680,1.7k,--,25,Bengaluru +119 other locations
1580,Progressive Infovision,3.8,Recruitment,680,1.1k,--,52,New Delhi +78 other locations
1581,ChannelPlay,3.9,Marketing & Advertising,680,1.9k,2,31,Gurugram +93 other locations
1582,Orient Cement,4.4,Building Material,680,2.4k,6,48,Hyderabad +70 other locations
1583,BASF,4.2,Chemicals,680,2.4k,6,35,Mumbai +96 other locations
1584,Doosan Power Systems,4.3,Power,680,2.5k,--,44,Gurugram +31 other locations
1585,Bayer Crop Science Vegetable Seeds,4.1,,680,958,--,38,
1586,Teamlease Digital,3.3,Recruitment,681,3.2k,--,39,Bengaluru +68 other locations
1587,TVS Electronics,3.8,Electronics Manufacturing,678,2.3k,8,33,Chennai +72 other locations
1588,Office Beacon,4.6,BPO,678,887,5,68,Vadodara +20 other locations
1589,YOKOGAWA,3.8,Industrial Automation,678,3.7k,74,60,Bengaluru +25 other locations
1590,SG Analytics,2.6,Analytics & KPO,677,3.6k,17,82,Pune +12 other locations
1591,Capco Technologies,3.7,IT Services & Consulting,677,5k,169,92,Bengaluru +18 other locations
1592,InternEzy,4.9,EdTech,676,5,4,126,Chennai +6 other locations
1593,Surya Roshni,4.1,Building Material,676,2.2k,11,23,New Delhi +74 other locations
1594,Rane NSK Steering Systems,4.0,Auto Components,676,2k,--,41,Chennai +26 other locations
1595,Medtronic,3.9,Medical Equipment,676,4.6k,143,81,Hyderabad +46 other locations
1596,Testbook.com,3.3,EdTech,676,4.5k,--,111,Noida +30 other locations
1597,Bridgestone - Global Capability Center,4.0,Auto Components,676,2.8k,21,49,Pune +61 other locations
1598,Solv,3.5,Internet,675,1.7k,--,46,Bengaluru +142 other locations
1599,Blue Yonder,3.6,Software Product,675,7.4k,168,72,Bengaluru +14 other locations
1600,Orient Technologies,3.7,IT Services & Consulting,675,3k,8,49,Mumbai +50 other locations
1601,Livpure,3.8,Consumer Electronics & Appliances,674,2.3k,14,41,Gurugram +82 other locations
1602,Quess IT Staffing Solutions,3.2,,674,1.6k,--,45,
1603,Lionbridge Technologies,3.5,Content Development,673,3.8k,2,51,Mumbai +14 other locations
1604,Elite Elevators,4.2,Industrial Machinery,673,989,2,51,Chennai +41 other locations
1605,Wissen Infotech,3.6,IT Services & Consulting,672,4.8k,101,64,Bengaluru +15 other locations
1606,MPS Limited,3.5,Content Development,672,2.9k,29,38,Dehradun +24 other locations
1607,Dhanuka Agritech,3.7,Agro Chemicals,671,1.9k,1,50,Gurugram +109 other locations
1608,Redington,4.0,Hardware & Networking,671,3.1k,3,37,Chennai +48 other locations
1609,R.S. Infraprojects,4.0,Engineering & Construction,671,1.7k,2,38,Noida +98 other locations
1610,Osource Global,3.5,BPO,670,2.7k,19,27,Mumbai +28 other locations
1611,Mahindra Integrated Business Solutions,3.4,BPO,669,2.6k,4,46,Mumbai +85 other locations
1612,NextComm Corporation,4.8,Software Product,669,37,--,6,Bengaluru +8 other locations
1613,Triveni Engineering & Industries,4.2,Food Processing,668,2.5k,2,49,Noida +57 other locations
1614,CJ Darcl Logistics Limited,4.0,Logistics,668,1.9k,--,44,Gurugram +83 other locations
1615,L&T Power,3.9,Power,668,3.4k,--,37,Vadodara +98 other locations
1616,PCBL Chemical Limited,3.9,Petrochemicals,667,2.6k,6,72,Vadodara +25 other locations
1617,Vasudha Pharma Chem,4.0,Pharma,667,2.2k,3,37,Visakhapatnam +9 other locations
1618,Housing.com,3.6,Internet,667,2.9k,19,80,Gurugram +44 other locations
1619,EPL Limited,3.8,Packaging,667,1.8k,5,30,Mumbai +34 other locations
1620,Tejas Networks,3.8,Hardware & Networking,666,4k,--,91,Bengaluru +35 other locations
1621,Magic EdTech,3.5,EdTech,666,3.6k,14,86,Noida +11 other locations
1622,Future Supply Chain Solutions,4.4,Logistics,665,2.1k,--,22,Nagpur +70 other locations
1623,DAV Public School,3.9,Education & Training,665,1.3k,--,36,New Delhi +153 other locations
1624,Snapdeal,3.8,Internet,665,2.8k,36,76,Gurugram +31 other locations
1625,Government of India,4.2,Government,664,3.8k,--,67,New Delhi +157 other locations
1626,Saint Gobain Glass,3.9,Building Material,664,2k,--,31,Chennai +57 other locations
1627,HCL Healthcare,4.6,Healthcare,664,959,17,171,Noida +40 other locations
1628,BDO RISE Private Limited,3.6,Accounting & Auditing,664,3k,13,85,Bengaluru +9 other locations
1629,Ingram Micro,3.6,IT Services & Consulting,663,3.3k,--,33,Mumbai +47 other locations
1630,Corteva Agriscience,4.3,Agro Chemicals,663,2.6k,1,41,Hyderabad +107 other locations
1631,SMC Global Securities,3.5,Financial Services,663,2.6k,23,59,New Delhi +90 other locations
1632,Optimum Infosystem,3.2,IT Services & Consulting,663,3.5k,34,59,Chennai +16 other locations
1633,CSC,3.6,Financial Services,662,4.6k,64,66,Bengaluru +24 other locations
1634,JoulestoWatts Business Solutions,3.4,IT Services & Consulting,662,3.3k,--,79,Bengaluru +17 other locations
1635,bp,3.7,Oil & Gas,661,4.3k,23,92,Pune +14 other locations
1636,ANAROCK Property Consultants,3.5,Real Estate,659,3.1k,49,64,Mumbai +31 other locations
1637,Welspun World,3.6,Building Material,659,2.5k,96,60,Anjar +52 other locations
1638,Omaxe,4.2,Real Estate,659,2.2k,4,41,New Delhi +24 other locations
1639,Kutumbh Care,4.0,Recruitment,658,1.6k,--,33,Noida +161 other locations
1640,Magic Bus India Foundation,3.8,Non-Profit,658,1.7k,18,44,Mumbai +77 other locations
1641,Licious,3.6,Internet,658,3k,17,77,Bengaluru +38 other locations
1642,Epicenter Technologies,3.4,BPO,657,2.3k,4,43,Mumbai +8 other locations
1643,Krsnaa Diagnostics,3.6,Healthcare,657,1.6k,12,50,Pune +96 other locations
1644,Indorama,3.9,Agro Chemicals,657,2.3k,12,41,Haldia +46 other locations
1645,BrightCHAMPS,4.3,EdTech,657,1.1k,4,98,Bengaluru +28 other locations
1646,PeopleStrong,3.4,Recruitment,656,3.2k,8,54,Gurugram +20 other locations
1647,My Home Industries,4.0,Building Material,656,2.3k,10,44,Hyderabad +70 other locations
1648,Narayana e-Techno School,3.6,Education & Training,655,2k,--,54,Bengaluru +104 other locations
1649,Healthians,4.1,Internet,655,1.9k,1,145,Gurugram +48 other locations
1650,DeHaat,3.6,Internet,655,2.1k,5,68,Gurugram +116 other locations
1651,Cogoport,3.2,Internet,655,1.8k,--,56,Mumbai +13 other locations
1652,Celebi Aviation Holding,4.0,Aviation,654,1.1k,--,37,New Delhi +19 other locations
1653,TCI Express,3.9,Logistics,653,1.9k,2,47,Gurugram +77 other locations
1654,Nihilent,3.1,IT Services & Consulting,652,4.9k,29,65,Pune +8 other locations
1655,BankBazaar,3.2,FinTech,651,2.9k,24,62,Chennai +15 other locations
1656,Sintex BAPL,3.6,Petrochemicals,651,2.4k,2,40,Ahmedabad +70 other locations
1657,Careon Healthcare Solutions,3.9,Medical Equipment,650,2.9k,--,9,Bengaluru +14 other locations
1658,Marlabs,3.5,IT Services & Consulting,650,5.2k,3,40,Bengaluru +12 other locations
1659,Centaur Pharmaceuticals,3.5,Pharma,650,2.8k,8,34,Pune +67 other locations
1660,Quality Austria Central Asia,3.5,Other,649,1.8k,21,29,New Delhi +74 other locations
1661,Qatar Airways,3.5,Aviation,649,2k,10,72,Ahmedabad +29 other locations
1662,Tata Power Delhi Distribution,3.8,Power,649,2.8k,--,35,New Delhi +31 other locations
1663,Surin Automotive,3.9,Industrial Machinery,648,2k,--,57,Pune +22 other locations
1664,TIAA Global Business Services,3.8,Financial Services,648,5k,9,52,Pune +9 other locations
1665,Carrier,3.7,Industrial Machinery,647,4.6k,12,55,Hyderabad +52 other locations
1666,Videocon d2h,3.8,Internet,645,1.2k,--,31,New Delhi +118 other locations
1667,Grihum Housing Finance,3.7,NBFC,645,2.1k,3,31,Pune +151 other locations
1668,Impetus Technologies,3.4,IT Services & Consulting,645,6.2k,43,113,Indore +14 other locations
1669,Fiat India Automobiles,3.6,Automobile,644,2.3k,4,46,Pune +23 other locations
1670,Yatra,3.3,Travel & Tourism,643,3k,1,37,Gurugram +20 other locations
1671,Forbes Marshall,3.9,Industrial Machinery,643,2.7k,23,47,Pune +24 other locations
1672,Times Group,3.8,Printing & Publishing,643,4.7k,13,33,Mumbai +47 other locations
1673,NiCE,3.6,Software Product,643,4.5k,49,100,Pune +15 other locations
1674,ICA Edu Skills,3.8,Education & Training,643,1.4k,17,42,Kolkata +119 other locations
1675,TDS Lithium-Ion Battery,4.2,Auto Components,643,2.2k,--,95,Ahmedabad +20 other locations
1676,Pennar Industries,3.5,Engineering & Construction,642,3k,4,36,Hyderabad +31 other locations
1677,Inspirisys Solution,3.7,IT Services & Consulting,642,3.8k,73,64,Chennai +56 other locations
1678,Corporate Infotech,3.7,IT Services & Consulting,642,2.2k,2,85,New Delhi +54 other locations
1679,Revolut,2.6,FinTech,642,3.1k,--,121,Bengaluru +18 other locations
1680,Hetero Healthcare,3.5,Pharma,642,2.3k,10,37,Hyderabad +82 other locations
1681,Corporate Infotech,3.7,IT Services & Consulting,642,2.2k,2,85,New Delhi +54 other locations
1682,Alshaya Group,3.7,Retail,641,2.3k,--,50,Bengaluru +29 other locations
1683,Sandvik Asia,4.0,Industrial Machinery,641,1.6k,--,33,Pune +37 other locations
1684,Anudip Foundation,4.1,Non-Profit,641,1.3k,17,212,Kolkata +64 other locations
1685,Uno Mindarika,4.0,Auto Components,641,2k,--,50,Gurugram +27 other locations
1686,Talentpro,3.8,Recruitment,640,2.4k,24,33,Chennai +126 other locations
1687,Collegedunia,3.2,Internet,640,3.3k,14,135,Gurugram +28 other locations
1688,3M,4.0,Electronics Manufacturing,639,3.2k,93,41,Bengaluru +54 other locations
1689,Vikram Solar,3.6,Power,638,2.3k,10,41,Kolkata +42 other locations
1690,MAQ Software,3.2,IT Services & Consulting,637,4k,3,175,Noida +9 other locations
1691,Welspun Corp,4.0,Iron & Steel,636,2.1k,14,35,Anjar +31 other locations
1692,RealPage,3.6,Software Product,636,4.1k,9,78,Hyderabad +8 other locations
1693,FCC Clutch,3.8,Auto Components,635,2.3k,--,44,Gurugram +26 other locations
1694,Mount Litera Zee School,3.7,Education & Training,635,1.5k,16,41,Bengaluru +125 other locations
1695,GKN,3.9,Defence & Aerospace,634,2.3k,47,38,Pune +30 other locations
1696,Wissen Technology,3.7,IT Services & Consulting,634,5.3k,101,203,Bengaluru +9 other locations
1697,Philips Innovation Campus,3.7,Software Product,634,4.5k,--,57,Bengaluru +20 other locations
1698,Kaizen IT Services,3.9,IT Services & Consulting,633,1.3k,--,38,Kolkata +93 other locations
1699,Gainwell Commosales,4.0,Industrial Machinery,633,2.3k,3,46,Kolkata +82 other locations
1700,National Stock Exchange of India,3.6,Financial Services,633,4.5k,--,55,Mumbai +34 other locations
1701,The Lalit,3.5,Hospitality,633,1.6k,13,26,New Delhi +32 other locations
1702,Global Healthcare Billing Partners,3.3,BPO,633,3.6k,431,47,Chennai +15 other locations
1703,Geojit Financial Services,3.3,Financial Services,632,2.2k,3,54,Kochi +142 other locations
1704,Sigma Engineered Solutions,3.9,Industrial Machinery,632,2.5k,--,30,Pune +16 other locations
1705,Ferrero,3.9,Food Processing,632,2.1k,12,31,Pune +103 other locations
1706,ExportersIndia,4.9,Internet,632,130,--,32,New Delhi +2 other locations
1707,NoBrokerHood,2.8,Software Product,632,2.1k,2,67,Bengaluru +33 other locations
1708,NRB Bearings,4.1,Auto Components,631,2k,44,53,Chhatrapati Sambhajinagar +21 other locations
1709,Ebixcash Global Services,3.1,BPO,631,2.1k,--,57,Mumbai +40 other locations
1710,Danfoss Industries,3.8,Industrial Machinery,631,3.4k,12,44,Chennai +21 other locations
1711,Me n Moms,4.2,Retail,631,1.1k,5,149,Mumbai +66 other locations
1712,TVS Eurogrip,3.7,Auto Components,631,2.1k,12,33,Madurai +83 other locations
1713,Continental,3.6,Auto Components,630,3.6k,82,58,Bengaluru +50 other locations
1714,Electrotherm,4.1,Iron & Steel,630,2.8k,1,40,Ahmedabad +41 other locations
1715,UKB Electronics Limited,3.5,Electronics Manufacturing,630,2.2k,27,54,Noida +24 other locations
1716,Khazana Jewellery,3.9,Jewellery,630,1.7k,27,65,Chennai +50 other locations
1717,Finova Capital,3.8,NBFC,629,1.5k,4,29,Jaipur +185 other locations
1718,Airports Authority of India,4.2,Aviation,629,1.8k,--,54,New Delhi +91 other locations
1719,Chaitanya India Fin Credit,4.1,NBFC,629,1.5k,--,36,Bengaluru +175 other locations
1720,Avalon Technologies,3.8,Electronics Manufacturing,629,3.4k,16,43,Chennai +17 other locations
1721,B.L. Kashyap & Sons,3.7,Engineering & Construction,628,1.7k,23,68,Bengaluru +25 other locations
1722,Belstar Microfinance,4.0,NBFC,628,1.5k,--,41,Chennai +224 other locations
1723,Data Entry,4.2,BPO,628,1.9k,--,131,New Delhi +109 other locations
1724,Suroj Buildcon,4.1,Engineering & Construction,628,1.6k,4,35,Pune +49 other locations
1725,Varthana,4.0,NBFC,628,1.4k,3,46,Bengaluru +80 other locations
1726,Turbo Energy,4.1,Auto Components,627,2k,--,25,Chennai +25 other locations
1727,Sl Lumax,3.4,Auto Components,627,2.4k,6,31,Chennai +19 other locations
1728,Reliance Jewels,3.9,Jewellery,627,1.3k,--,37,Mumbai +131 other locations
1729,Sir H. N. Reliance Foundation Hospital and Research,4.2,Healthcare,627,1.2k,39,168,Mumbai +10 other locations
1730,Suraksha Diagnostic,3.7,Healthcare,626,1.6k,22,49,Kolkata +35 other locations
1731,NetConnectGlobal,3.1,IT Services & Consulting,626,2.7k,229,33,Bengaluru +44 other locations
1732,InsuranceDekho,3.5,Internet,626,2.2k,40,81,Gurugram +85 other locations
1733,ACKO,3.4,Insurance,626,3k,22,64,Bengaluru +14 other locations
1734,Monte Carlo,4.2,Fashion & Textile,625,2.5k,3,36,Ahmedabad +104 other locations
1735,Annalect,3.4,Marketing & Advertising,624,4.3k,--,83,Bengaluru +15 other locations
1736,Manjushree Technopack,3.5,,623,2.8k,13,48,
1737,Varun Motors,3.8,Automobile,623,2.1k,2,24,Hyderabad +42 other locations
1738,Sapphire Foods India,3.8,Hospitality,623,2k,37,37,Mumbai +66 other locations
1739,SOLAR INDUSTRIES INDIA,3.6,Defence & Aerospace,623,3k,17,73,Nagpur +39 other locations
1740,South Indian Bank,3.3,Banking,622,3.1k,--,49,Kochi +85 other locations
1741,Tecnimont,3.9,Engineering & Construction,622,2.8k,74,43,Mumbai +29 other locations
1742,Suma Soft,3.5,IT Services & Consulting,622,3.2k,15,52,Pune +11 other locations
1743,Crowne Plaza,4.1,Hospitality,622,1.3k,--,23,New Delhi +36 other locations
1744,IDBI Intech Limited,3.2,IT Services & Consulting,621,3k,--,55,Mumbai +28 other locations
1745,Karvy Stock Broking,3.6,,620,1.5k,--,9,
1746,Sasken,3.6,IT Services & Consulting,620,4.3k,42,92,Bengaluru +12 other locations
1747,Maharashtra Seamless,3.5,Building Material,619,2.2k,3,62,Mumbai +25 other locations
1748,Serum Institute of India,4.1,Biotechnology,619,3.3k,4,42,Pune +26 other locations
1749,Motilal Oswal Wealth Management,4.4,Financial Services,619,397,26,42,Mumbai +26 other locations
1750,Kiya.ai,3.9,IT Services & Consulting,619,4.2k,152,51,Mumbai +18 other locations
1751,Medcode,3.8,IT Services & Consulting,618,419,19,13,Hyderabad +10 other locations
1752,Trigent Software,3.4,IT Services & Consulting,617,3.9k,--,80,Bengaluru +29 other locations
1753,IRB Infrastructure,3.9,Engineering & Construction,617,1.4k,27,28,Mumbai +72 other locations
1754,Emids Technologies Limited,3.6,IT Services & Consulting,617,5.1k,27,49,Bengaluru +9 other locations
1755,Shriram Automall,4.0,Internet,616,1.4k,--,47,New Delhi +109 other locations
1756,Pyramid IT Consulting,3.1,Recruitment,616,2.8k,2,28,Noida +25 other locations
1757,Super Smelters,3.7,Iron & Steel,615,2.1k,3,42,Asansol +24 other locations
1758,Vedanta Limited,3.8,Metals & Mining,615,2.7k,10,57,Lanjigarh +54 other locations
1759,Okaya Power,3.8,Electrical Equipment,615,2.2k,5,42,New Delhi +87 other locations
1760,Hamilton Housewares,3.8,Consumer Electronics & Appliances,615,2.7k,20,41,Mumbai +54 other locations
1761,Aster Dm Healthcare,3.7,Healthcare,615,2.9k,201,58,Bengaluru +39 other locations
1762,Central Reserve Police Force,4.6,Government,614,1.3k,--,9,New Delhi +95 other locations
1763,Blackrock,3.5,Financial Services,614,7.2k,--,120,Gurugram +18 other locations
1764,Action Tesa,3.9,Building Material,614,1.4k,6,111,Sitarganj +62 other locations
1765,Shivam Autotech,3.6,Auto Components,613,2.3k,4,37,Gurugram +21 other locations
1766,HDFC Asset Management Company,4.1,Financial Services,613,2.5k,--,46,Mumbai +139 other locations
1767,Kajaria Ceramics,3.9,Building Material,613,2.1k,--,32,New Delhi +83 other locations
1768,Renovision Automation Services,3.3,IT Services & Consulting,613,1.9k,22,26,New Delhi +71 other locations
1769,Nucleus Software Exports,3.4,Software Product,613,4.2k,39,47,Noida +12 other locations
1770,CSM Technologies,4.0,IT Services & Consulting,613,2.1k,18,35,Bhubaneswar +22 other locations
1771,Sapiens,3.1,Software Product,613,5.4k,2,67,Bengaluru +8 other locations
1772,Schwing Stetter,3.8,Industrial Machinery,613,2.5k,92,46,Chennai +44 other locations
1773,Hitachi Systems Micro Clinic,4.0,IT Services & Consulting,612,2.7k,--,32,Mumbai +78 other locations
1774,Dr. Batras' Positive Health Clinic,3.8,Healthcare,612,1.1k,17,23,Mumbai +88 other locations
1775,Myk Laticrete,3.9,Building Material,612,2.2k,10,26,Hyderabad +88 other locations
1776,Einfochips,3.5,IT Services & Consulting,612,3.9k,155,77,Ahmedabad +13 other locations
1777,Royaloak Incorporation,3.6,Furniture & Furnishing,612,1.5k,15,40,Bengaluru +47 other locations
1778,EaseMyTrip.com,4.1,Internet,611,1.4k,68,69,New Delhi +10 other locations
1779,ThoughtWorks,3.9,IT Services & Consulting,611,7k,12,175,Bengaluru +11 other locations
1780,Sintex Industries,3.9,Industrial Machinery,611,2k,12,25,Ahmedabad +58 other locations
1781,Becton Dickinson,4.0,Medical Equipment,611,3.4k,105,37,Bengaluru +38 other locations
1782,Cashify,3.8,Internet,610,2.7k,8,51,Gurugram +58 other locations
1783,Avaada Group,4.3,Power,610,2.2k,54,63,Noida +68 other locations
1784,Agrostar,4.0,Internet,610,1.5k,17,63,Pune +52 other locations
1785,Finastra,3.7,Software Product,610,4.5k,41,61,Bengaluru +13 other locations
1786,Kirloskar Ferrous Industries,3.7,Iron & Steel,609,2.1k,2,33,Koppal +22 other locations
1787,Mavenir Systems,3.3,IT Services & Consulting,609,3.6k,8,63,Bengaluru +19 other locations
1788,Godrej Industries,4.0,Real Estate,608,2.8k,120,59,Mumbai +68 other locations
1789,Gestamp,3.6,Auto Components,608,2.1k,--,23,Pune +14 other locations
1790,Fiem Industries,3.6,Auto Components,608,2.7k,11,29,Hosur +29 other locations
1791,BMC Software,4.0,Software Product,607,3.9k,46,52,Pune +10 other locations
1792,Family Health Plan,3.7,Insurance,607,2.1k,8,45,Hyderabad +36 other locations
1793,Finolex Industries,3.7,Building Material,606,2.4k,--,48,Pune +71 other locations
1794,Sudarshan Chemical Industries,3.9,Chemicals,607,2.7k,15,34,Roha +25 other locations
1795,ITC Limited Foods Division,3.9,Food Processing,606,2k,--,76,Bengaluru +74 other locations
1796,Netmeds.com,3.9,Pharma,606,2.3k,--,49,Chennai +125 other locations
1797,Royal Caribbean International,4.2,Sports & Recreation,605,713,1,32,Mumbai +26 other locations
1798,BT E Serv,3.9,BPO,605,2.7k,--,54,Kolkata +6 other locations
1799,Holiday Inn,4.0,Hospitality,605,1.4k,2,18,New Delhi +61 other locations
1800,Ongc Petro Additions,4.1,Petrochemicals,605,3.3k,--,35,Bharuch +29 other locations
1801,Nspira Management Services,3.7,Management Consulting,605,2.5k,20,38,Hyderabad +59 other locations
1802,Mrs Bector's Food Specialities,3.8,Food Processing,604,1.9k,14,31,Greater Noida +88 other locations
1803,MothersonSumi INfotech & Designs,3.4,IT Services & Consulting,604,3.7k,6,37,Noida +18 other locations
1804,Grab A Grub Services,3.9,Logistics,603,1.9k,--,35,Mumbai +115 other locations
1805,CSG International,3.4,IT Services & Consulting,603,4.2k,20,60,Bengaluru +13 other locations
1806,Cyfuture,3.0,IT Services & Consulting,603,2.7k,19,108,Noida +37 other locations
1807,Vyapar,3.6,Software Product,602,2.3k,133,78,Bengaluru +40 other locations
1808,Rocket India,4.0,Financial Services,602,3.6k,30,114,Chennai +11 other locations
1809,Jain Irrigation Systems,3.7,Agriculture,601,1.9k,--,32,Jalgaon +89 other locations
1810,Polaris Consulting,4.2,IT Services & Consulting,601,2.8k,--,33,Hyderabad +18 other locations
1811,Carnival Cruise Lines,4.2,Sports & Recreation,601,685,--,23,Mumbai +31 other locations
1812,DHL Global Forwarding,3.9,Logistics,600,3.1k,--,39,Chennai +21 other locations
1813,Dhani Services,3.7,,601,1.2k,1,22,
1814,Bharat Biotech International,3.1,Biotechnology,600,2.3k,5,64,Hyderabad +29 other locations
1815,Jayaswal Neco Industries,4.1,Iron & Steel,600,2.1k,13,37,Raipur +31 other locations
1816,Blackberrys,3.7,Fashion & Textile,600,1.8k,6,33,Gurugram +92 other locations
1817,VDA Infosolutions,3.8,IT Services & Consulting,599,1.9k,2,55,Pune +34 other locations
1818,Toyoda Gosei Minda,4.2,Auto Components,599,1.8k,--,33,Neemrana +24 other locations
1819,Hpl Electric & Power,3.7,Electrical Equipment,599,2.2k,6,69,Gurugram +70 other locations
1820,AML RightSource,2.6,IT Services & Consulting,599,3.4k,28,60,New Delhi +9 other locations
1821,Heidelberg Cement,4.0,Building Material,598,1.9k,1,36,Damoh +79 other locations
1822,Infinity Learn,4.2,EdTech,598,2k,66,102,Hyderabad +18 other locations
1823,Sterling Oil Exploration & Energy Production,3.5,Oil & Gas,598,1.3k,2,69,Lagos +23 other locations
1824,Varindera Constructions,4.4,Engineering & Construction,597,1.3k,14,51,New Delhi +26 other locations
1825,Jubilant Agri and Consumer Products,4.0,Chemicals,596,1.9k,--,38,Gurugram +114 other locations
1826,IKEA,4.0,Retail,596,2.2k,--,50,Bengaluru +24 other locations
1827,Anmol Industries,3.9,FMCG,595,1.8k,--,65,Kolkata +88 other locations
1828,HashedIn by Deloitte,3.9,IT Services & Consulting,595,5.7k,3,146,Bengaluru +16 other locations
1829,APL Apollo Tubes,4.0,Iron & Steel,595,1.9k,7,54,Raipur +47 other locations
1830,Ofbusiness,3.0,Internet,595,2.6k,67,50,Gurugram +42 other locations
1831,Vedang Cellular Services,3.8,Telecom,595,1.7k,12,30,Mumbai +69 other locations
1832,Ugam Solution,3.6,IT Services & Consulting,594,3.5k,--,51,Mumbai +14 other locations
1833,Columbia Asia,4.6,Healthcare,594,1.4k,--,19,Bengaluru +18 other locations
1834,Eli Lilly and Company,3.3,Pharma,594,4.8k,73,82,Bengaluru +19 other locations
1835,Maxicus,4.0,BPO,593,717,--,135,Vadodara +15 other locations
1836,Sanghi Industries,4.0,Building Material,592,2.2k,--,77,Ahmedabad +29 other locations
1837,Bridge & Roof Co,3.4,Engineering & Construction,592,2.5k,--,27,Kolkata +64 other locations
1838,United Colors of Benetton,4.3,Fashion & Textile,591,1.3k,4,24,Gurugram +74 other locations
1839,Perficient,3.7,IT Services & Consulting,591,4.5k,10,48,Chennai +11 other locations
1840,Perficient,3.7,IT Services & Consulting,591,4.5k,10,48,Chennai +11 other locations
1841,Medley Pharmaceuticals,3.9,Pharma,591,1.8k,21,38,Mumbai +76 other locations
1842,Lulu International Shopping Mall,3.7,Retail,591,2.5k,29,43,Bengaluru +42 other locations
1843,DealShare,3.5,Internet,591,2.6k,--,42,Bengaluru +43 other locations
1844,Pathkind Diagnostics Private Limited,4.0,Healthcare,590,1.8k,11,54,New Delhi +98 other locations
1845,Consulting Engineers Group,4.1,Engineering & Construction,590,1.7k,10,48,Jaipur +70 other locations
1846,Inspira Enterprise India Limited,3.6,IT Services & Consulting,590,3.5k,3,51,Mumbai +35 other locations
1847,EdgeVerve Systems,3.2,Software Product,590,4.1k,24,68,Bengaluru +15 other locations
1848,The Saraswat Co-operative Bank,3.2,Banking,589,3k,8,28,Mumbai +35 other locations
1849,Accion Labs,3.5,IT Services & Consulting,590,4.8k,52,82,Bengaluru +13 other locations
1850,IDP Education Limited,3.6,Education & Training,589,2.5k,20,69,Chennai +50 other locations
1851,ShareChat,3.6,Internet,588,2.6k,10,87,Bengaluru +39 other locations
1852,Vadilal Industries,4.1,FMCG,588,1.7k,5,38,Ahmedabad +84 other locations
1853,Affinity Express,2.8,Marketing & Advertising,587,2.4k,--,39,Pune +12 other locations
1854,Excitel Broadband,3.6,Telecom,587,1.9k,4,58,New Delhi +43 other locations
1855,Kellogg,4.2,FMCG,587,2.2k,4,31,Mumbai +84 other locations
1856,Saudi Aramco,4.5,Oil & Gas,587,1.4k,--,61,Mumbai +38 other locations
1857,NLC India Limited,4.4,Metals & Mining,585,1.2k,--,29,Neyveli +27 other locations
1858,HLL Lifecare,3.7,Healthcare,585,1.8k,--,45,Thiruvananthapuram +113 other locations
1859,Cvent,3.3,Software Product,585,4.8k,124,102,Gurugram +9 other locations
1860,Cvent,3.3,Software Product,585,4.8k,124,102,Gurugram +9 other locations
1861,Orra Fine Jewellery,3.5,Jewellery,585,1.7k,21,50,Mumbai +51 other locations
1862,Ascent HR Technologies Private Limited,3.6,Software Product,584,1.7k,--,46,Bengaluru +15 other locations
