,name,rating,types,reviews,salary,jobs,interviews,Locations
6239,Digital Web Solutions,3.8,IT Services & Consulting,178,670,42,21,Gurugram +7 other locations
6240,Jayem Automotives,3.3,Auto Components,178,729,1,9,Coimbatore +8 other locations
6241,Don Bosco Tech Society,4.0,Non-Profit,178,333,10,11,New Delhi +50 other locations
6242,Hitek Syndicate,3.6,Banking,178,431,--,8,New Delhi +16 other locations
6243,Indus Motors,4.0,Automobile,178,646,5,3,Kochi +32 other locations
6244,Gangar Eyenation,3.6,Retail,178,519,30,11,Mumbai +22 other locations
6245,Matrix Cellular Services,4.2,Telecom,178,455,--,2,New Delhi +20 other locations
6246,Fichtner Consulting Engineers,3.8,Engineering & Construction,178,752,3,18,Chennai +23 other locations
6247,Arvind Smartspaces Limited,3.6,Real Estate,178,670,--,16,Ahmedabad +6 other locations
6248,KNNX Corp,2.6,IT Services & Consulting,178,875,--,11,Noida +7 other locations
6249,Simplify3x Software,3.8,Software Product,178,1.2k,1,17,Bengaluru +6 other locations
6250,TPF Engineering,3.8,Engineering & Construction,178,618,37,19,Mumbai +31 other locations
6251,Lakme Salon,3.9,Beauty & Personal Care,178,470,--,14,Bengaluru +47 other locations
6252,Aster Cmi Hospital,3.9,Healthcare,178,639,--,12,Bengaluru +7 other locations
6253,Gopalan Enterprises,4.0,Real Estate,178,703,1,17,Bengaluru +6 other locations
6254,KPI Partners,3.7,IT Services & Consulting,178,925,36,20,Hyderabad +6 other locations
6255,Diksha Technologies,3.0,IT Services & Consulting,178,821,24,5,Bengaluru +6 other locations
6256,Dr B Lal Clinical Laboratory,4.0,Healthcare,178,411,7,10,Jaipur +13 other locations
6257,Divgi Torqtransfer Systems,3.1,Auto Components,178,810,--,10,Pune +7 other locations
6258,Moneyboxx Finance,3.6,NBFC,178,516,13,10,Mumbai +79 other locations
6259,Arwade Infrastructure,4.0,Engineering & Construction,178,534,--,10,Pune +12 other locations
6260,Deccan Cements,4.1,Building Material,178,676,2,11,Hyderabad +16 other locations
6261,Hyderabad Metro Rail,4.1,Railways,178,516,7,11,Hyderabad +5 other locations
6262,Techugo,3.6,Software Product,178,474,10,16,Noida +7 other locations
6263,Cadmaxx Solutions,3.5,IT Services & Consulting,178,748,5,18,Bengaluru +13 other locations
6264,Thriveni Sainik Mining,4.2,Metals & Mining,178,569,1,29,Hazaribag +11 other locations
6265,Globe Capital Market,3.4,Investment Banking / Venture Capital / Private Equity,178,653,5,7,New Delhi +32 other locations
6266,Natural Remedies,3.7,Pharma,177,752,4,16,Bengaluru +21 other locations
6267,Geno Pharmaceuticals,2.9,Pharma,177,464,--,20,Mumbai +42 other locations
6268,Bharat Benz,4.3,Automobile,177,554,--,9,Chennai +78 other locations
6269,Infibeam Avenues,3.3,IT Services & Consulting,177,1.3k,9,12,Mumbai +11 other locations
6270,CR Asia,3.9,Oil & Gas,177,636,2,11,Jamnagar +12 other locations
6271,Polyplastics,3.7,Petrochemicals,177,824,--,4,Ahmedabad +24 other locations
6272,Ananda Dairy,4.0,Agriculture,177,569,--,13,Noida +34 other locations
6273,Denso Ten Minda India,4.1,Auto Components,177,738,--,16,Bawal +10 other locations
6274,Cipla Industries,4.0,Pharma,177,711,--,12,Indore +31 other locations
6275,Sharda Hospital,3.8,Healthcare,177,693,--,12,Greater Noida +8 other locations
6276,Lalitpur Power Generation,4.3,Power,177,604,8,10,Lalitpur +10 other locations
6277,Archean Chemical Industries,3.8,Chemicals,177,785,--,12,Bhuj +18 other locations
6278,Anytime Fitness,3.6,Fitness & Wellness,177,763,67,14,New Delhi +31 other locations
6279,Dr ITM,3.2,BPO,177,473,--,12,Jaipur +15 other locations
6280,ABT Maruti,3.9,Automobile,177,757,3,3,Chennai +20 other locations
6281,All India Council Technical Education,4.4,,177,203,--,10,
6282,Maccaferri,3.8,Real Estate,177,671,--,11,Gurugram +32 other locations
6283,Tata Passenger Electric Mobility,4.2,Automobile,177,583,--,13,Ahmedabad +14 other locations
6284,nurture.farm,3.2,Agriculture,177,719,--,11,Bengaluru +44 other locations
6285,Ashish Life Science,3.7,Pharma,177,576,4,15,Mumbai +10 other locations
6286,Swaraj Engines,3.7,Automobile,177,559,--,10,Sahibzada Ajit Singh Nagar +10 other locations
6287,Rane Group,4.0,Auto Components,177,739,--,12,Chennai +24 other locations
6288,Gateway Group of Companies,2.4,IT Services & Consulting,177,1.1k,10,26,Ahmedabad +7 other locations
6289,The House of Abhinandan Lodha,3.0,Real Estate,177,703,6,23,Mumbai +7 other locations
6290,Epp Composites,3.3,Industrial Machinery,177,677,7,69,Rajkot +12 other locations
6291,Walker Chandiok & Co,3.1,Accounting & Auditing,177,1.2k,--,14,Mumbai +13 other locations
6292,DESIGNCO,4.0,Import & Export,177,729,10,14,Moradabad +7 other locations
6293,Saatvik Green Energy,4.0,Power,177,680,1,13,Ambala +12 other locations
6294,Sandfits Foundries,4.1,Auto Components,177,610,1,35,Coimbatore +3 other locations
6295,RPP Infra Projects,3.8,Engineering & Construction,177,742,8,25,Chennai +31 other locations
6296,Aster MIMS,4.4,Healthcare,177,764,--,10,Kozhikode +19 other locations
6297,Jubilant Industries,3.8,Agro Chemicals,177,1.2k,--,18,New Delhi +35 other locations
6298,Careers360,3.1,Education & Training,177,1.1k,--,18,Gurugram +10 other locations
6299,LiquidHub,3.6,IT Services & Consulting,174,760,--,14,Hyderabad +8 other locations
6300,L&T Buildings & Factories,3.8,Engineering & Construction,176,162,--,8,Mumbai +27 other locations
6301,Presidency University,2.6,Education & Training,176,745,--,12,Bengaluru +7 other locations
6302,Sri Ranganathar Industries,3.3,Industrial Machinery,176,809,3,10,Coimbatore +6 other locations
6303,O2 Power,4.5,Power,177,501,--,8,Gurugram +33 other locations
6304,S.M. Consultants,3.5,Management Consulting,176,607,--,18,Bhubaneswar +23 other locations
6305,Apollo Cradle,4.2,Healthcare,176,372,--,20,Bengaluru +13 other locations
6306,Micromatic Grinding Technologies,4.0,Industrial Machinery,176,706,7,8,Ghaziabad +7 other locations
6307,Ultra Engineers,4.0,Industrial Machinery,176,858,--,12,Pune +8 other locations
6308,Asianet Satellite Communications,4.4,Internet,176,551,1,21,Thiruvananthapuram +23 other locations
6309,Anand Rathi Wealth Limited,3.2,Financial Services,176,1.3k,--,25,Mumbai +23 other locations
6310,Cytecare Cancer Hospital,4.6,Healthcare,176,449,12,14,Bengaluru +3 other locations
6311,Infinity Data Technologies,3.5,IT Services & Consulting,176,1.2k,--,2,Pune +7 other locations
6312,Crif Solutions,3.3,FinTech,176,1.2k,--,23,Pune +2 other locations
6313,APAC Financial Services,4.0,Financial Services,176,506,20,10,Mumbai +78 other locations
6314,Leena Powertech Engineers,3.7,Engineering & Construction,176,538,3,9,Mumbai +12 other locations
6315,Equentis Wealth Advisory Services,3.5,Financial Services,176,644,34,26,Mumbai +5 other locations
6316,IPL Biologicals,4.1,Agriculture,176,610,7,17,Gurugram +34 other locations
6317,Mandovi Motors,3.7,Auto Components,176,552,2,6,Bengaluru +6 other locations
6318,Integrated Enterprises,3.8,Financial Services,176,626,1,14,Chennai +33 other locations
6319,Bonanza Portfolio,3.3,Financial Services,176,844,18,12,Mumbai +33 other locations
6320,Bewakoof,3.7,Fashion & Textile,176,889,3,15,Bengaluru +15 other locations
6321,Gnrc Hospital,3.6,Healthcare,176,607,--,15,Guwahati +13 other locations
6322,Escorts Construction Equipment,4.1,Industrial Machinery,174,683,--,9,Faridabad +26 other locations
6323,Goel Ganga Group,3.5,Real Estate,176,657,--,13,Pune +4 other locations
6324,Orange Health Labs,3.9,Healthcare,177,522,2,17,Bengaluru +9 other locations
6325,Inox Green Energy Services,3.9,Electrical Equipment,175,507,--,13,Jaisalmer +41 other locations
6326,Harbinger Systems,3.6,Software Product,175,1.2k,7,7,Pune +2 other locations
6327,Som Projects (S.P.L),3.8,Engineering & Construction,175,624,2,16,New Delhi +24 other locations
6328,Doordarshan,4.0,Broadcasting,175,822,3,7,New Delhi +39 other locations
6329,Thinksynq Solutions,3.9,Management Consulting,175,679,--,23,Chennai +14 other locations
6330,Tata Realty and Infrastructure,3.9,Real Estate,175,924,60,9,Mumbai +25 other locations
6331,Dr Shroff Charity Eye Hospital,3.8,Healthcare,175,444,8,7,New Delhi +12 other locations
6332,Novopor Advanced Science,4.2,Chemicals,175,808,8,10,Visakhapatnam +5 other locations
6333,ObjectWin Technology,3.5,Recruitment,175,1.1k,--,10,Bengaluru +8 other locations
6334,Traya Health,3.6,Fitness & Wellness,175,459,16,34,Mumbai +7 other locations
6335,Collage,4.2,Retail,175,437,--,17,Hyderabad +77 other locations
